History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;36882;Hardware;2.05;Software;1.43;Protocol;103;Pulse rate;0;Country code;49;PCM;-1;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;1-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in °C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Recovery rate (+);Recovery rate (-);;;;
;;;;;;;;;;;;;;;
71725;14.03.2024;0;63359;100;120,2;16,5;43;37,1;37,1;100;;;;;
71725;14.03.2024;0;63358;107;120,1;16,6;33;40,7;38,1;107;;;;;
71725;14.03.2024;0;63357;104;120,1;16,4;43;39,2;37,5;104;;;;;
71725;14.03.2024;0;63356;114;119,6;16;26;42,7;37,3;114;;;;;
71725;14.03.2024;0;63355;97;119,6;15,5;49;36,4;37,5;97;;;;;
71725;14.03.2024;0;63354;105;120,1;15,5;49;39,1;37,2;105;;;;;
71725;14.03.2024;0;63353;101;119,4;15,1;48;38,1;37,6;101;;;;;
71725;14.03.2024;0;63352;103;119,1;14,9;44;38,5;37,5;103;;;;;
71725;14.03.2024;0;63351;100;118,7;14,5;44;36,3;36,3;100;;;;;
71725;14.03.2024;0;63350;111;118,7;14,4;35;41,6;37,4;111;;;;;
71725;14.03.2024;0;63349;102;118,7;14;41;38,1;37,5;102;;;;;
71725;14.03.2024;0;63348;105;118,5;13,3;36;39;37,3;105;;;;;
71725;14.03.2024;0;63347;101;117,8;13;49;38,3;37,7;101;;;;;
71725;14.03.2024;0;63346;97;117,6;12,3;35;28,1;28,9;97;;;;;
71725;14.03.2024;0;63345;106;118,1;11,9;43;39,6;37,5;106;;;;;
71725;14.03.2024;0;63344;97;118,1;11,3;51;36,5;37,6;97;;;;;
71725;14.03.2024;0;63343;107;118,5;11,4;41;39,6;37,1;107;;;;;
71725;14.03.2024;0;63342;105;118,5;11;47;39,2;37,4;105;;;;;
71725;14.03.2024;0;63341;103;117,8;10,6;9;38,4;37,2;103;;;;;
71725;14.03.2024;0;63340;90;117,1;10,4;38;25,6;28,5;90;;;;;
71725;14.03.2024;0;63339;103;118,6;10,1;39;37,8;36,5;103;;;;;
71725;13.03.2024;0;63338;99;118,1;12,4;46;37,1;37,4;99;;;;;
71725;13.03.2024;0;63337;103;118,3;12,6;44;38,9;37,7;103;;;;;
71725;13.03.2024;0;63336;99;117,9;12,7;47;37,2;37,6;99;;;;;
71725;13.03.2024;0;63335;101;118,1;12,9;46;37,9;37,5;101;;;;;
71725;13.03.2024;0;63334;96;117,9;13;53;36,1;37,5;96;;;;;
71725;13.03.2024;0;63333;102;118,6;13;48;38,4;37,6;102;;;;;
71725;13.03.2024;0;63332;97;118,1;12,8;46;32,9;34;97;;;;;
71725;13.03.2024;0;63331;99;118,6;12,7;50;37,1;37,6;99;;;;;
71725;13.03.2024;0;63330;101;118,7;12,9;43;38,2;37,6;101;;;;;
71725;13.03.2024;0;63329;105;118,6;13;43;39,4;37,6;105;;;;;
71725;13.03.2024;0;63328;112;118;12,9;30;41,8;37,4;112;;;;;
71725;13.03.2024;0;63327;103;118;13,3;36;38,4;37,5;103;;;;;
71725;13.03.2024;0;63326;106;117,5;13,4;40;39,9;37,6;106;;;;;
71725;13.03.2024;0;63325;101;116,6;13,4;40;38,1;37,7;101;;;;;
71725;13.03.2024;0;63324;99;116,4;13,2;42;38;38,5;99;;;;;
71725;13.03.2024;0;63323;93;116,5;13,1;50;34,7;37,5;93;;;;;
71725;13.03.2024;0;63322;93;117,5;13;53;34,7;37,4;93;;;;;
71725;13.03.2024;0;63321;104;118,8;13,1;44;39;37,5;104;;;;;
71725;13.03.2024;0;63320;100;118,3;13,3;40;37,8;37,7;100;;;;;
71725;13.03.2024;0;63319;96;118,3;12,9;39;36;37,5;96;;;;;
71725;13.03.2024;0;63318;92;118,7;12,7;51;34,4;37,6;92;;;;;
71725;13.03.2024;0;63317;98;119,9;12,7;49;37;37,8;98;;;;;
71725;13.03.2024;0;63316;103;120,2;12,7;37;38,5;37,4;103;;;;;
71725;13.03.2024;0;63315;104;119,9;12,5;35;39;37,5;104;;;;;
71725;13.03.2024;0;63314;105;119,3;12,3;34;39,3;37,5;105;;;;;
71725;13.03.2024;0;63313;111;118,5;11;21;41,3;37,2;111;;;;;
71725;13.03.2024;0;63312;105;118,5;10;34;39,2;37,5;105;;;;;
71725;13.03.2024;0;63311;109;117,9;9,5;19;32,2;29,5;109;;;;;
71725;13.03.2024;0;63310;110;117,9;9,1;22;40,2;36,7;110;;;;;
71725;13.03.2024;0;63309;94;117,9;7,4;33;27,5;29,4;94;;;;;
71725;13.03.2024;0;63308;99;118,9;7,1;29;27,9;28,3;99;;;;;
