History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;36882;Hardware;2.05;Software;1.43;Protocol;103;Pulse rate;0;Country code;49;PCM;-1;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;1-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in °C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Recovery rate (+);Recovery rate (-);;;;
;;;;;;;;;;;;;;;
0;21.02.2024;0;62609;107;100;13,4;49;40,1;37,4;107;;;;;
71725;15.02.2024;48;62609;107;108,3;13,4;49;40,1;37,4;;107;;;;
71725;15.02.2024;48;62608;108;107,5;13,2;45;40,3;37,5;;108;;;;
71725;15.02.2024;48;62607;108;106,6;13,2;43;40,4;37,5;;108;;;;
71725;15.02.2024;48;62606;110;105,8;13,2;49;41,3;37,6;;110;;;;
71725;15.02.2024;48;62605;97;104,5;13,3;51;35;36;;97;;;;
71725;15.02.2024;48;62604;81;104,5;13,3;44;27,8;34,4;;81;;;;
71725;15.02.2024;47;62603;103;107,1;13,1;50;38,8;37,5;;103;;;;
71725;15.02.2024;47;62602;110;106,8;13,3;38;41,4;37,5;;110;;;;
71725;15.02.2024;47;62601;101;105,5;13,4;48;37,9;37,4;;101;;;;
71725;15.02.2024;47;62600;103;105,3;13,2;51;38,5;37,5;;103;;;;
71725;15.02.2024;47;62599;104;105,1;13,1;45;39,2;37,5;;104;;;;
71725;15.02.2024;47;62598;102;104,5;13,1;46;38,4;37,4;;102;;;;
71725;15.02.2024;47;62597;106;104,3;13,3;41;38,2;36,2;;106;;;;
71725;15.02.2024;47;62596;105;103,6;12,9;43;39,5;37,5;;105;;;;
71725;15.02.2024;47;62595;112;103,1;13;38;42,2;37,7;;112;;;;
71725;15.02.2024;47;62594;112;101,9;13,5;57;41,2;36,8;;112;;;;
71725;15.02.2024;47;62593;174;100,4;13,2;36;65,1;37,4;;174;;;;
71725;15.02.2024;46;62592;158;100,4;13,5;21;59,1;37,5;;158;;;;
71725;15.02.2024;45;62591;108;100,4;13,3;56;38,7;35,8;;108;;;;
71725;15.02.2024;45;62590;153;99,5;13,2;36;57,5;37,6;;153;;;;
71725;15.02.2024;44;62589;112;99,5;13,4;37;40,5;36,3;;112;;;;
71725;15.02.2024;44;62588;163;98,1;13,3;19;60,9;37,3;;163;;;;
71725;15.02.2024;43;62587;147;98,1;13;35;55,3;37,6;;147;;;;
71725;15.02.2024;42;62586;140;98,1;12,9;30;52,5;37,5;;140;;;;
71725;15.02.2024;41;62585;133;98,1;13;38;48,1;36,2;;133;;;;
71725;15.02.2024;40;62584;138;98,1;12,8;33;49,7;36;;138;;;;
71725;15.02.2024;39;62583;131;98,1;12,5;33;47,5;36,1;;131;;;;
71725;15.02.2024;38;62582;154;98,1;12,8;22;55,7;36,1;;154;;;;
71725;15.02.2024;37;62581;152;98,1;12,6;23;54,7;36;;152;;;;
71725;15.02.2024;36;62580;150;98,1;12,4;35;56;37,5;;150;;;;
71725;15.02.2024;35;62579;163;98,1;12,5;18;59,8;36,6;;163;;;;
71725;15.02.2024;34;62578;141;98,1;11,7;39;51,7;36,7;;141;;;;
71725;15.02.2024;33;62577;147;98,1;11,8;35;55;37,3;;147;;;;
71725;15.02.2024;32;62576;85;98,1;11,8;31;25;29,4;;85;;;;
71725;14.02.2024;32;62575;137;100;12,1;38;51;37,2;;137;;;;
71725;14.02.2024;31;62574;109;100;12,6;55;38,7;35,6;;109;;;;
71725;14.02.2024;31;62573;127;98,8;12,6;43;45,4;35,9;;127;;;;
71725;14.02.2024;30;62572;70;98,8;12,8;57;21;30;;70;;;;
71725;14.02.2024;29;62571;67;102,2;12,7;47;19,9;29,9;;67;;;;
71725;14.02.2024;28;62570;95;106,1;12,5;54;35,6;37,4;;95;;;;
71725;14.02.2024;28;62569;99;106,8;12,7;55;36,6;36,9;;99;;;;
71725;14.02.2024;28;62568;105;106,9;12,6;45;38,9;37;;105;;;;
71725;14.02.2024;28;62567;106;106,4;12,8;55;39,9;37,5;;106;;;;
71725;14.02.2024;28;62566;111;105,5;12,2;43;41,3;37,2;;111;;;;
71725;14.02.2024;28;62565;73;103,6;12,5;26;21,8;29,7;;73;;;;
71725;14.02.2024;27;62564;103;107,1;12,6;55;37,4;36,4;;103;;;;
71725;14.02.2024;27;62563;104;106,9;12;43;38,7;37,1;;104;;;;
71725;14.02.2024;27;62562;113;106,6;11,8;50;42,1;37,4;;113;;;;
71725;14.02.2024;27;62561;64;104,3;12,1;44;19,1;29,8;;64;;;;
71725;14.02.2024;26;62560;102;108,5;11,9;42;38;37,4;;102;;;;
71725;14.02.2024;26;62559;96;108,2;12,2;54;35,2;36,7;;96;;;;
