History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;36882;Hardware;2.05;Software;1.43;Protocol;103;Pulse rate;0;Country code;49;PCM;-1;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;1-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in °C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Recovery rate (+);Recovery rate (-);;;;
;;;;;;;;;;;;;;;
71725;10.01.2024;34;61691;131;118,2;4,9;18;29,6;22,6;;131;;;;
71725;10.01.2024;33;61690;114;118,2;4,8;41;25,3;22,1;;114;;;;
71725;10.01.2024;33;61689;113;118,2;4,4;40;25;22,2;;113;;;;
71725;10.01.2024;33;61688;114;118,2;4,5;40;25,3;22,2;;114;;;;
71725;10.01.2024;33;61687;126;118,2;3,3;23;36,9;29,2;;126;;;;
71725;10.01.2024;32;61686;130;118,2;3;20;28,7;22,1;;130;;;;
71725;10.01.2024;31;61685;160;118,2;1,5;29;34,8;21,7;;160;;;;
71725;10.01.2024;30;61684;134;118,2;0;19;29,3;21,9;;134;;;;
71725;10.01.2024;29;61683;143;118,2;-2,4;17;31,4;21,9;;143;;;;
71725;09.01.2024;28;61682;140;118,2;2,8;16;30;21,4;;140;;;;
71725;09.01.2024;27;61681;144;118,2;4,5;16;30,5;21,2;;144;;;;
71725;09.01.2024;26;61680;139;118,2;4,3;13;28,8;20,8;;139;;;;
71725;09.01.2024;25;61679;143;118,2;4,5;7;42,1;29,4;;143;;;;
71725;09.01.2024;24;61678;142;118,2;4,2;13;31,3;22;;142;;;;
71725;09.01.2024;23;61677;138;118,2;4,6;15;29,3;21,3;;138;;;;
71725;09.01.2024;22;61676;134;118,2;5,5;21;28,6;21,4;;134;;;;
71725;09.01.2024;21;61675;145;118,2;6,5;5;30,6;21,1;;145;;;;
71725;09.01.2024;20;61674;126;118,2;6,2;26;26,5;21;;126;;;;
71725;09.01.2024;19;61673;129;118,2;6,1;26;26,7;20,8;;129;;;;
71725;09.01.2024;18;61672;129;118,2;5,6;23;27,5;21,4;;129;;;;
71725;09.01.2024;17;61671;149;118,2;6;5;32;21,5;;149;;;;
71725;09.01.2024;16;61670;144;118,2;5,9;11;30,9;21,5;;144;;;;
71725;09.01.2024;15;61669;136;118,2;6,5;14;29,3;21,6;;136;;;;
71725;09.01.2024;14;61668;137;118,2;6;11;29,1;21,2;;137;;;;
71725;09.01.2024;13;61667;135;118,2;5,7;25;28,9;21,5;;135;;;;
71725;09.01.2024;12;61666;113;118,2;5,3;31;33,4;29,4;;113;;;;
71725;09.01.2024;12;61665;126;118,2;4,6;30;26,8;21,2;;126;;;;
71725;09.01.2024;11;61664;132;118,2;2,5;15;29,1;21,9;;132;;;;
71725;09.01.2024;10;61663;135;118,2;0,9;13;29,7;22,1;135;;;;;
71725;09.01.2024;9;61662;130;118,2;-0,2;18;30,1;23,1;130;;;;;
71725;09.01.2024;8;61661;129;118,2;-2,2;19;29;22,5;129;;;;;
71725;09.01.2024;7;61660;124;118,2;-2,9;29;27,9;22,6;124;;;;;
71725;09.01.2024;6;61659;128;118,2;-3,6;24;31,9;25;128;;;;;
71725;09.01.2024;5;61658;138;118,2;-5,5;11;39,2;28,4;138;;;;;
71725;08.01.2024;4;61657;125;118,2;2,8;22;28,7;22,9;125;;;;;
71725;08.01.2024;3;61656;124;118,2;2,9;33;28,3;22,7;124;;;;;
71725;08.01.2024;2;61655;121;118,2;4,2;32;27,6;22,7;121;;;;;
71725;08.01.2024;1;61654;129;118,2;4,3;20;30,3;23,4;129;;;;;
71725;08.01.2024;0;61653;113;118,2;5,9;43;25,2;22,4;113;;;;;
71725;08.01.2024;0;61652;114;118,2;4,2;40;25,2;22,2;114;;;;;
71725;08.01.2024;0;61651;112;118,2;2,6;37;25,2;22,4;112;;;;;
71725;08.01.2024;1;61650;128;118,2;2,6;19;28,8;22,5;128;;;;;
71725;08.01.2024;0;61649;115;118,2;1,8;36;33,6;29,3;115;;;;;
71725;08.01.2024;0;61648;114;118,2;0,3;34;25;22;114;;;;;
71725;07.01.2024;1;61647;130;118,2;2,2;22;27,9;21,4;130;;;;;
71725;07.01.2024;0;61646;115;118,2;2,9;200;25,1;21,9;115;;;;;
71725;07.01.2024;9;61645;187;118,2;2,5;200;39,6;21,2;187;;;;;
71725;07.01.2024;8;61644;145;118,2;2,6;5;32,1;22,1;145;;;;;
71725;07.01.2024;7;61643;139;118,2;3,8;13;29,6;21,3;139;;;;;
71725;07.01.2024;6;61642;133;118,2;3,1;23;27,9;21;133;;;;;
71725;07.01.2024;5;61641;144;118,2;2,7;8;30,2;21;144;;;;;
71725;07.01.2024;4;61640;137;118,2;3,9;12;28,9;21;137;;;;;
71725;07.01.2024;3;61639;128;118,2;0,8;21;27;21;128;;;;;
71725;07.01.2024;2;61638;128;118,2;0,2;28;27,5;21,5;128;;;;;
71725;06.01.2024;1;61637;139;118,2;3,5;19;28,8;20,7;139;;;;;
71725;06.01.2024;0;61636;109;118,2;5,1;41;32,4;29,6;109;;;;;
71725;06.01.2024;0;61635;104;118,2;4,7;41;30,7;29,6;104;;;;;
71725;06.01.2024;0;61634;111;117,6;2;36;31,8;28,5;111;;;;;
71725;05.01.2024;0;61633;97;117,6;6,4;29;30;30,9;97;;;;;
71725;05.01.2024;0;61632;105;118,2;7,1;28;32,9;31,2;105;;;;;
71725;05.01.2024;0;61631;104;117,3;4,8;33;31,1;29,9;104;;;;;
71725;05.01.2024;1;61630;126;116,8;2,5;24;27,4;21,7;126;;;;;
71725;05.01.2024;0;61629;115;116,8;2,1;37;26,5;23,2;115;;;;;
