History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;12983;Hardware;2.05;Software;1.47;Protocol;104;Pulse rate;100;Country code;49;PCM;-1;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;0-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in °C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Recovery rate (+);Recovery rate (-);;;;
;;;;;;;;;;;;;;;
112440;07.03.2024;0;22943;96;101,9;4,8;37;33,8;35,2;96;;;;;
112440;07.03.2024;0;22942;98;102,3;4,4;40;36,3;37,1;98;;;;;
112440;07.03.2024;0;22941;101;102,6;4;40;37,4;37,2;101;;;;;
112440;07.03.2024;0;22940;105;102,7;3,9;30;38,7;36,7;105;;;;;
112440;07.03.2024;0;22939;98;102,5;3,4;40;36,3;36,9;98;;;;;
112440;07.03.2024;0;22938;108;102,8;3,3;27;40,1;37,1;108;;;;;
112440;06.03.2024;0;22937;111;102,5;6,5;19;40,1;36,1;111;;;;;
112440;06.03.2024;0;22936;108;101,9;6,8;21;42,7;39,4;108;;;;;
112440;06.03.2024;0;22935;109;101,5;6,6;28;40,4;37,1;109;;;;;
112440;06.03.2024;0;22934;100;101;6,8;43;36,6;36,4;100;;;;;
112440;06.03.2024;0;22933;102;101;6,6;37;37,8;37;102;;;;;
112440;06.03.2024;0;22932;105;101;7,7;38;38,9;37,1;105;;;;;
112440;06.03.2024;0;22931;100;100,7;7,7;45;36,9;37,1;100;;;;;
112440;06.03.2024;0;22930;103;100,7;7,9;41;37,1;36,1;103;;;;;
112440;06.03.2024;0;22929;102;100,6;8,4;48;37,6;37;102;;;;;
112440;06.03.2024;0;22928;101;100,5;8,2;43;37;36,8;101;;;;;
112440;06.03.2024;0;22927;102;100,5;8,1;43;38;37,2;102;;;;;
112440;06.03.2024;0;22926;102;100,4;8,2;36;37,8;36,9;102;;;;;
112440;06.03.2024;0;22925;97;100,3;8,2;50;35,7;37;97;;;;;
112440;06.03.2024;0;22924;98;100,5;8,4;46;36;36,7;98;;;;;
112440;06.03.2024;0;22923;102;100,6;8,7;42;38;37,4;102;;;;;
112440;06.03.2024;0;22922;97;100,5;8,7;47;36;37;97;;;;;
112440;06.03.2024;0;22921;105;100,8;9,5;35;39;37,3;105;;;;;
112440;06.03.2024;0;22920;98;100,5;10,4;33;34,5;35;98;;;;;
112440;06.03.2024;0;22919;103;100,7;11,4;41;37,6;36,6;103;;;;;
112440;06.03.2024;0;22918;97;100,5;11,5;50;36,7;37,8;97;;;;;
112440;06.03.2024;0;22917;99;100,7;11,6;47;36,4;36,7;99;;;;;
112440;06.03.2024;0;22916;100;100,8;11,5;45;37,1;36,9;100;;;;;
112440;06.03.2024;0;22915;97;100,9;10,8;51;36,3;37,4;97;;;;;
112440;06.03.2024;0;22914;106;101,1;10,3;31;37,9;35,8;106;;;;;
112440;06.03.2024;0;22913;96;100,8;10,5;50;35,7;37,1;96;;;;;
112440;06.03.2024;0;22912;104;101,1;10,9;39;38,4;36,9;104;;;;;
112440;06.03.2024;0;22911;98;101;10,8;47;36,6;37,2;98;;;;;
112440;06.03.2024;0;22910;97;101,1;8,5;48;35,5;36,7;97;;;;;
112440;06.03.2024;0;22909;98;101,4;6,9;42;36,1;36,7;98;;;;;
112440;06.03.2024;0;22908;102;101,6;4,3;35;37,7;37,1;102;;;;;
112440;06.03.2024;0;22907;100;101,6;4,1;43;37;37,2;100;;;;;
112440;05.03.2024;0;22906;104;101,7;6,6;36;38,5;37,2;104;;;;;
112440;05.03.2024;0;22905;108;101,6;6,5;29;40,9;37,9;108;;;;;
112440;05.03.2024;0;22904;102;101,1;6,5;13;37,8;37,1;102;;;;;
112440;05.03.2024;0;22903;102;101,1;6,5;39;37,8;37,2;102;;;;;
112440;05.03.2024;0;22902;106;101;6,7;32;39,4;37,1;106;;;;;
112440;05.03.2024;0;22901;98;100,7;6,6;47;36,5;37,2;98;;;;;
112440;05.03.2024;0;22900;102;100,9;7;40;37,2;36,5;102;;;;;
112440;05.03.2024;0;22899;99;100,8;6,9;45;36,7;37,2;99;;;;;
112440;05.03.2024;0;22898;103;100,9;7,1;40;38,1;36,8;103;;;;;
112440;05.03.2024;0;22897;101;100,8;7,2;39;37,3;36,8;101;;;;;
112440;05.03.2024;0;22896;100;100,7;7,1;44;37,3;37,2;100;;;;;
112440;05.03.2024;0;22895;98;100,8;7,1;47;36,6;37,2;98;;;;;
112440;05.03.2024;0;22894;102;101;7,3;40;38;37,1;102;;;;;
