History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;82571;Hardware;2.08;Software;1.52;Protocol;106;Pulse rate;100;Country code;49;PCM;2.0.0;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;1-0100-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in °C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Duration refueling operation in sec;board temperature [°C];time till shutdown [min];Recovery rate (+);Recovery rate (-);
;;;;;;;;;;;;;;;
83237;14.05.2024;0;100;104;91;18,8;36;31;29,73;52;0;NOLIM;104;;
83237;14.05.2024;0;99;104;90;18;37;31,6;30,3;33;0;NOLIM;104;;
83237;14.05.2024;0;98;97;88,9;17,3;45;29,5;30,32;93;0;NOLIM;97;;
83237;14.05.2024;0;97;101;89,6;20,5;46;30,4;30,02;72;0;NOLIM;101;;
83237;14.05.2024;0;96;107;89,4;21,5;41;31,6;29,49;31;0;NOLIM;107;;
83237;14.05.2024;0;95;96;87,9;21;56;28,4;29,66;110;0;NOLIM;96;;
83237;13.05.2024;0;94;98;88,9;21,3;47;30;30,43;86;0;NOLIM;98;;
83237;13.05.2024;0;93;98;89,2;21,5;48;29,4;30;99;0;NOLIM;98;;
83237;13.05.2024;0;92;101;89,6;21,5;47;30,8;30,41;68;0;NOLIM;101;;
83237;13.05.2024;0;91;98;89,5;21,7;47;30,2;30,82;255;0;NOLIM;98;;
83237;13.05.2024;0;90;100;89,9;22,4;45;29,8;29,76;85;0;NOLIM;100;;
83237;13.05.2024;0;89;100;89,9;22,2;45;30,3;30,36;123;0;NOLIM;100;;
83237;13.05.2024;0;88;96;89,9;23,2;51;28,8;30,03;91;0;NOLIM;96;;
83237;13.05.2024;0;87;105;90,8;23,5;38;31,7;30,3;70;0;NOLIM;105;;
83237;13.05.2024;0;86;92;89,8;24,1;48;28,3;30,85;97;0;NOLIM;92;;
83237;13.05.2024;0;85;108;91,7;24,6;36;31,9;29,64;33;0;NOLIM;108;;
83237;13.05.2024;0;84;104;89,9;23,6;44;31,4;30,33;51;0;NOLIM;104;;
83237;13.05.2024;0;83;99;89,3;22,5;49;30;30,39;120;0;NOLIM;99;;
