History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;44535;Hardware;2.06;Software;1.47;Protocol;104;Pulse rate;50;Country code;49;PCM;-1;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;1-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in °C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Recovery rate (+);Recovery rate (-);;;;
;;;;;;;;;;;;;;;
86916;28.02.2024;0;16042;97;107,3;9,3;48;36;37;97;;;;;
86916;28.02.2024;0;16041;96;107,5;9;46;35,6;37,2;96;;;;;
86916;28.02.2024;0;16040;102;108,2;9,1;44;38,5;37,7;102;;;;;
86916;28.02.2024;0;16039;100;107,9;8,9;46;37,7;37,8;100;;;;;
86916;28.02.2024;0;16038;97;108;8,9;46;36,4;37,7;97;;;;;
86916;28.02.2024;0;16037;103;108,5;8,8;42;38,8;37,7;103;;;;;
86916;28.02.2024;0;16036;104;108,1;8,7;41;38,5;37;104;;;;;
86916;28.02.2024;0;16035;99;107,5;8,5;35;29,6;29,9;99;;;;;
86916;28.02.2024;0;16034;93;107,5;8,7;46;34,9;37,6;93;;;;;
86916;28.02.2024;0;16033;102;108,4;8,8;39;38,2;37,4;102;;;;;
86916;28.02.2024;0;16032;102;108,2;8,3;42;38,4;37,6;102;;;;;
86916;28.02.2024;0;16031;99;107,9;8,2;43;37,4;37,7;99;;;;;
86916;28.02.2024;0;16030;99;107,9;8,1;41;37,2;37,5;99;;;;;
86916;28.02.2024;0;16029;100;108,2;8,1;37;37,7;37,6;100;;;;;
86916;28.02.2024;0;16028;98;108;8;43;36,7;37,7;98;;;;;
86916;28.02.2024;0;16027;100;108,3;7,8;42;37,4;37,5;100;;;;;
86916;28.02.2024;0;16026;98;108,4;7,4;40;36,9;37,4;98;;;;;
86916;28.02.2024;0;16025;107;108,7;7,1;24;40,1;37,5;107;;;;;
86916;28.02.2024;0;16024;93;107,7;6,9;44;34,8;37,5;93;;;;;
86916;28.02.2024;0;16023;112;108,8;6,9;43;42,2;37,7;112;;;;;
86916;28.02.2024;1;16022;199;107,1;6,7;45;81,9;37,6;199;;;;;
86916;28.02.2024;0;16021;110;107,1;6;31;41,4;37,8;110;;;;;
86916;28.02.2024;0;16020;98;105,7;4,8;44;36,2;36,9;98;;;;;
86916;28.02.2024;0;16019;98;106;4,4;45;36,7;37,6;98;;;;;
86916;28.02.2024;0;16018;108;106,4;3,8;35;40,8;37,7;108;;;;;
86916;27.02.2024;0;16017;105;105,5;10,2;32;25,4;24,1;105;;;;;
86916;27.02.2024;0;16016;95;104,7;10,5;25;35,8;37,8;95;;;;;
86916;27.02.2024;0;16015;99;105,3;10,4;42;32,9;33,2;99;;;;;
86916;27.02.2024;0;16014;100;105,4;10,6;46;37,3;37,4;100;;;;;
86916;27.02.2024;0;16013;102;105,4;10,7;45;38;37,3;102;;;;;
86916;27.02.2024;0;16012;102;105,2;10,5;46;38,6;37,6;102;;;;;
86916;27.02.2024;0;16011;106;105;10,6;37;40;37,6;106;;;;;
86916;27.02.2024;0;16010;92;104;10,9;24;34,4;37,6;92;;;;;
86916;27.02.2024;0;16009;109;105,2;10,8;41;41,2;37,8;109;;;;;
86916;27.02.2024;0;16008;98;104,1;10,8;42;36,6;37,2;98;;;;;
86916;27.02.2024;0;16007;99;104,3;10,5;53;37;37,4;99;;;;;
86916;27.02.2024;0;16006;99;104,5;10,6;48;37,2;37,4;99;;;;;
86916;27.02.2024;0;16005;102;104,5;10,1;49;38,3;37,6;102;;;;;
86916;27.02.2024;0;16004;90;104,3;9,7;32;33,8;37,7;90;;;;;
86916;27.02.2024;0;16003;97;105,6;9,6;47;37,5;38,6;97;;;;;
86916;27.02.2024;0;16002;93;106;9,3;46;35,2;37,7;93;;;;;
86916;27.02.2024;0;16001;97;106,9;9,4;45;36,5;37,5;97;;;;;
86916;27.02.2024;0;16000;97;107,1;9,3;47;36,4;37,5;97;;;;;
86916;27.02.2024;0;15999;97;107,6;9,6;44;29,4;30,2;97;;;;;
86916;27.02.2024;0;15998;97;107,8;9,4;44;36,3;37,5;97;;;;;
86916;27.02.2024;0;15997;87;108,2;8,9;49;30,6;35,1;87;;;;;
86916;27.02.2024;0;15996;94;109,8;8,8;48;35,6;37,7;94;;;;;
86916;27.02.2024;0;15995;106;110,6;8,8;40;39,8;37,7;106;;;;;
86916;27.02.2024;0;15994;90;109,7;9;27;33,9;37,8;90;;;;;
86916;27.02.2024;0;15993;94;111,1;8,6;49;35,3;37,7;94;;;;;
86916;27.02.2024;0;15992;106;112,1;8,7;41;39,9;37,7;106;;;;;
86916;27.02.2024;0;15991;98;111,3;8,7;43;36,9;37,7;98;;;;;
