History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;39905;Hardware;2.05;Software;1.44;Protocol;103;Pulse rate;50;Country code;49;PCM;-1;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;1-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in °C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Recovery rate (+);Recovery rate (-);;;;
;;;;;;;;;;;;;;;
77723;24.04.2024;0;19976;108;102;8,3;42;37;34,3;108;;;;;
77723;24.04.2024;0;19975;108;101;7,3;2;41;37,9;108;;;;;
0;24.04.2024;0;19974;200;100;7,2;10;23,7;0;200;;;;;
77723;24.04.2024;2;19974;200;100;7,2;10;23,7;0;200;;;;;
77723;24.04.2024;1;19973;138;100;6,3;10;48,5;35,2;138;;;;;
0;24.04.2024;0;19972;108;100;11,3;14;37,8;35;108;;;;;
77723;19.04.2024;14;19972;108;119,9;11,3;14;37,8;35;;108;;;;
77723;19.04.2024;14;19971;104;119,9;11,2;22;33,2;31,9;;104;;;;
77723;19.04.2024;14;19970;109;119,3;11,1;14;38,2;35;;109;;;;
77723;19.04.2024;14;19969;103;119,3;9,2;22;35,1;34,1;;103;;;;
77723;19.04.2024;14;19968;107;118,8;9;18;31,5;29,5;;107;;;;
77723;19.04.2024;14;19967;106;118,8;8,7;16;35,3;33,3;;106;;;;
77723;19.04.2024;14;19966;107;118,8;5,9;13;37,3;34,8;;107;;;;
77723;18.04.2024;14;19965;110;120,5;9,8;13;37,4;33,9;;110;;;;
77723;18.04.2024;14;19964;111;120,5;9,7;13;38,5;34,6;;111;;;;
77723;18.04.2024;14;19963;103;120,5;11,1;27;32,7;31,8;;103;;;;
77723;18.04.2024;14;19962;108;120;11,1;18;35,6;32,9;;108;;;;
77723;18.04.2024;14;19961;104;120;12,2;28;36,3;34,9;;104;;;;
77723;18.04.2024;14;19960;104;119,4;12;20;34,6;33,4;;104;;;;
77723;18.04.2024;14;19959;100;118,9;11,9;30;33,4;33,5;;100;;;;
77723;18.04.2024;14;19958;107;118,9;12,3;26;35,7;33,2;;107;;;;
77723;18.04.2024;14;19957;110;118,9;12,6;14;35,6;32,4;;110;;;;
77723;18.04.2024;14;19956;112;118,9;12,3;12;37;33,1;;112;;;;
77723;18.04.2024;14;19955;96;118,9;12,8;35;30,6;31,9;;96;;;;
77723;18.04.2024;14;19954;96;119,3;12,4;31;32,6;34,1;;96;;;;
77723;18.04.2024;14;19953;101;119,9;12,5;30;34,2;34;;101;;;;
77723;18.04.2024;14;19952;105;119,9;13;16;35,8;34,2;;105;;;;
77723;18.04.2024;14;19951;98;119,3;12,6;28;34,7;35,3;;98;;;;
77723;18.04.2024;14;19950;100;119,6;12,6;21;34;33,9;;100;;;;
77723;18.04.2024;14;19949;103;119,5;12,9;24;36;34,9;;103;;;;
77723;18.04.2024;14;19948;96;119;12,5;41;32,6;34,1;;96;;;;
77723;18.04.2024;14;19947;101;119,7;12,5;36;34;33,8;;101;;;;
77723;18.04.2024;14;19946;101;119,7;12,4;31;34,3;34;;101;;;;
77723;18.04.2024;14;19945;98;119,4;12,5;33;35,8;36,6;;98;;;;
77723;18.04.2024;14;19944;104;119,9;12,4;26;37,1;35,7;;104;;;;
77723;18.04.2024;14;19943;106;119,3;12,5;28;33,6;31,7;;106;;;;
77723;18.04.2024;14;19942;106;119,3;12;23;35,7;33,8;;106;;;;
77723;18.04.2024;14;19941;106;119,3;12;19;36,1;34;;106;;;;
77723;18.04.2024;14;19940;108;119,3;12,8;18;35;32,5;;108;;;;
77723;18.04.2024;14;19939;100;119,3;12,5;34;33,7;33,9;;100;;;;
77723;18.04.2024;14;19938;109;119,4;12,6;21;35,3;32,4;;109;;;;
77723;18.04.2024;14;19937;100;119,4;12,3;35;33,7;33,7;;100;;;;
77723;18.04.2024;14;19936;106;119,5;12,4;22;31,1;29,4;;106;;;;
77723;18.04.2024;14;19935;97;119,5;12,2;35;33;33,9;;97;;;;
77723;18.04.2024;14;19934;111;119,9;12,5;16;36,3;32,8;;111;;;;
77723;18.04.2024;14;19933;101;119,9;12,4;28;35,7;35,3;;101;;;;
77723;18.04.2024;14;19932;95;119,5;12,7;49;31,2;32,8;;95;;;;
77723;18.04.2024;14;19931;107;120,3;12,6;17;35,8;33,5;;107;;;;
77723;18.04.2024;14;19930;97;120,3;12,7;12;34,3;35,3;;97;;;;
77723;18.04.2024;14;19929;113;120,8;12,8;14;37,1;32,9;;113;;;;
77723;18.04.2024;14;19928;102;120,8;12,7;28;35,8;35,2;;102;;;;
77723;18.04.2024;14;19927;103;120,6;12,1;27;35;34;;103;;;;
77723;18.04.2024;14;19926;111;120,2;12,3;16;35,9;32,3;;111;;;;
